Value,Range,Percentage,Min,Max
820.97,-6.63,(-0.80%),-10.34,2.79
821.33,-6.27,(-0.76%),-10.34,2.79
821.47,-6.13,(-0.74%),-10.34,2.79
821.48,-6.12,(-0.74%),-10.34,2.79
822.07,-5.53,(-0.67%),-10.34,2.79
821.85,-5.75,(-0.69%),-10.34,2.79
821.95,-5.65,(-0.68%),-10.34,2.79
821.76,-5.84,(-0.71%),-10.34,2.79
821.49,-6.11,(-0.74%),-10.34,2.79
821.55,-6.05,(-0.73%),-10.34,2.79
821.60,-6.00,(-0.72%),-10.34,2.79
821.90,-5.70,(-0.69%),-10.34,2.79
821.98,-5.62,(-0.68%),-10.34,2.79
822.04,-5.56,(-0.67%),-10.34,2.79
822.10,-5.50,(-0.66%),-10.34,2.79
821.98,-5.62,(-0.68%),-10.34,2.79
822.05,-5.55,(-0.67%),-10.34,2.79
821.81,-5.79,(-0.70%),-10.34,2.79
822.02,-5.58,(-0.67%),-10.34,2.79
821.79,-5.81,(-0.70%),-10.34,2.79
821.15,-6.45,(-0.78%),-10.34,2.79
821.02,-6.58,(-0.80%),-10.34,2.79
820.94,-6.66,(-0.80%),-10.34,2.79
820.49,-7.11,(-0.86%),-10.34,2.79
820.27,-7.33,(-0.89%),-10.34,2.79
819.96,-7.64,(-0.92%),-10.34,2.79
819.37,-8.23,(-0.99%),-10.34,2.79
818.80,-8.80,(-1.06%),-10.34,2.79
817.95,-9.65,(-1.17%),-10.34,2.79
818.11,-9.49,(-1.15%),-10.34,2.79
818.33,-9.27,(-1.12%),-10.34,2.79
818.06,-9.54,(-1.15%),-10.34,2.79
818.06,-9.54,(-1.15%),-10.34,2.79
818.45,-9.15,(-1.11%),-10.34,2.79
818.77,-8.83,(-1.07%),-10.34,2.79
818.80,-8.80,(-1.06%),-10.34,2.79
818.28,-9.32,(-1.13%),-10.34,2.79
818.05,-9.55,(-1.15%),-10.34,2.79
817.95,-9.65,(-1.17%),-10.34,2.79
818.26,-9.34,(-1.13%),-10.34,2.79
818.33,-9.27,(-1.12%),-10.34,2.79
818.64,-9.29,(-1.12%),-10.34,2.79
818.70,-8.90,(-1.08%),-10.34,2.79
818.88,-8.72,(-1.05%),-10.34,2.79
818.39,-9.21,(-1.11%),-10.34,2.79
818.76,-8.84,(-1.07%),-10.34,2.79
818.59,-9.01,(-1.09%),-10.34,2.79
819.61,-7.99,(-0.97%),-10.34,2.79
818.97,-8.63,(-1.04%),-10.34,2.79
818.98,-8.62,(-1.04%),-10.34,2.79
819.11,-8.49,(-1.03%),-10.34,2.79
818.86,-8.74,(-1.06%),-10.34,2.79
819.07,-8.53,(-1.03%),-10.34,2.79
819.03,-8.57,(-1.04%),-10.34,2.79
819.27,-8.33,(-1.01%),-10.34,2.79
819.26,-8.34,(-1.01%),-10.34,2.79
819.30,-8.30,(-1.00%),-10.34,2.79
819.65,-7.95,(-0.96%),-10.34,2.79
819.35,-8.25,(-1.00%),-10.34,2.79
819.11,-8.49,(-1.03%),-10.34,2.79
819.11,-8.49,(-1.03%),-10.34,2.79
819.35,-8.25,(-1.00%),-10.34,2.79
819.37,-8.23,(-0.99%),-10.34,2.79
818.97,-8.63,(-1.04%),-10.34,2.79
818.99,-8.61,(-1.04%),-10.34,2.79
818.84,-8.76,(-1.06%),-10.34,2.79
818.73,-8.87,(-1.07%),-10.34,2.79
819.01,-8.59,(-1.04%),-10.34,2.79
818.69,-8.91,(-1.08%),-10.34,2.79
818.46,-9.14,(-1.10%),-10.34,2.79
819.06,-8.54,(-1.03%),-10.34,2.79
819.74,-7.86,(-0.95%),-10.34,2.79
819.99,-7.61,(-0.92%),-10.34,2.79
819.79,-7.81,(-0.94%),-10.34,2.79
819.83,-7.77,(-0.94%),-10.34,2.79
819.36,-8.24,(-1.00%),-10.34,2.79
819.03,-8.57,(-1.04%),-10.34,2.79
819.08,-8.52,(-1.03%),-10.34,2.79
819.47,-8.13,(-0.98%),-10.34,2.79
819.65,-7.95,(-0.96%),-10.34,2.79
819.70,-7.90,(-0.95%),-10.34,2.79
819.70,-7.90,(-0.95%),-10.34,2.79
820.13,-7.47,(-0.90%),-10.34,2.79
819.98,-7.62,(-0.92%),-10.34,2.79
819.55,-8.05,(-0.97%),-10.34,2.79
819.55,-8.05,(-0.97%),-10.34,2.79
819.80,-7.80,(-0.94%),-10.34,2.79
820.17,-7.43,(-0.90%),-10.34,2.79
819.91,-7.69,(-0.93%),-10.34,2.79
820.07,-7.53,(-0.91%),-10.34,2.79
820.07,-7.53,(-0.91%),-10.34,2.79
820.15,-7.45,(-0.90%),-10.34,2.79
819.55,-8.05,(-0.97%),-10.34,2.79
819.84,-7.76,(-0.94%),-10.34,2.79
820.06,-7.54,(-0.91%),-10.34,2.79
819.93,-7.67,(-0.93%),-10.34,2.79
820.32,-7.28,(-0.88%),-10.34,2.79
820.32,-7.28,(-0.88%),-10.34,2.79
820.44,-7.16,(-0.87%),-10.34,2.79
820.69,-6.91,(-0.83%),-10.34,2.79
820.66,-6.94,(-0.84%),-10.34,2.79
820.77,-6.83,(-0.83%),-10.34,2.79
820.37,-7.23,(-0.87%),-10.34,2.79
820.29,-7.31,(-0.88%),-10.34,2.79
820.17,-7.43,(-0.90%),-10.34,2.79
819.78,-7.82,(-0.94%),-10.34,2.79
819.45,-8.15,(-0.98%),-10.34,2.79
820.24,-7.36,(-0.89%),-10.34,2.79
820.03,-7.57,(-0.91%),-10.34,2.79
820.23,-7.37,(-0.89%),-10.34,2.79
820.03,-7.57,(-0.91%),-10.34,2.79
819.45,-8.15,(-0.98%),-10.34,2.79
819.56,-8.04,(-0.97%),-10.34,2.79
820.26,-7.34,(-0.89%),-10.34,2.79
819.53,-8.07,(-0.98%),-10.34,2.79
819.88,-7.72,(-0.93%),-10.34,2.79
819.88,-7.72,(-0.93%),-10.34,2.79
819.76,-7.84,(-0.95%),-10.34,2.79
819.12,-8.48,(-1.02%),-10.34,2.79
819.12,-8.48,(-1.02%),-10.34,2.79
819.99,-7.61,(-0.92%),-10.34,2.79
820.55,-7.05,(-0.85%),-10.34,2.79
820.91,-6.69,(-0.81%),-10.34,2.79
820.93,-6.67,(-0.81%),-10.34,2.79
820.53,-7.07,(-0.85%),-10.34,2.79
820.27,-7.33,(-0.89%),-10.34,2.79
820.26,-7.34,(-0.89%),-10.34,2.79
820.38,-7.22,(-0.87%),-10.34,2.79
820.26,-7.34,(-0.89%),-10.34,2.79
820.26,-7.34,(-0.89%),-10.34,2.79
820.10,-7.50,(-0.91%),-10.34,2.79
819.94,-7.66,(-0.93%),-10.34,2.79
820.14,-7.46,(-0.90%),-10.34,2.79
819.94,-7.66,(-0.93%),-10.34,2.79
819.80,-7.80,(-0.94%),-10.34,2.79
819.61,-7.99,(-0.97%),-10.34,2.79
819.47,-8.13,(-0.98%),-10.34,2.79
819.75,-7.85,(-0.95%),-10.34,2.79
819.51,-8.09,(-0.98%),-10.34,2.79
819.41,-8.19,(-0.99%),-10.34,2.79
819.49,-8.11,(-0.98%),-10.34,2.79
819.41,-8.19,(-0.99%),-10.34,2.79
818.38,-9.22,(-1.11%),-10.34,2.79
818.07,-9.53,(-1.15%),-10.34,2.79
818.75,-8.85,(-1.07%),-10.34,2.79
818.81,-8.79,(-1.06%),-10.34,2.79
818.54,-9.06,(-1.09%),-10.34,2.79
818.65,-8.95,(-1.08%),-10.34,2.79
818.55,-9.05,(-1.09%),-10.34,2.79
818.34,-9.26,(-1.12%),-10.34,2.79
817.95,-9.65,(-1.17%),-10.34,2.79
817.67,-9.93,(-1.20%),-10.34,2.79
817.36,-10.24,(-1.24%),-10.34,2.79
817.36,-10.24,(-1.24%),-10.34,2.79
817.56,-10.04,(-1.21%),-10.34,2.79
817.41,-10.19,(-1.23%),-10.34,2.79
817.75,-9.85,(-1.19%),-10.34,2.79
818.02,-9.58,(-1.16%),-10.34,2.79
818.58,-9.02,(-1.09%),-10.34,2.79
818.39,-9.21,(-1.11%),-10.34,2.79
817.95,-9.65,(-1.17%),-10.34,2.79
818.58,-9.02,(-1.09%),-10.34,2.79
818.37,-9.23,(-1.12%),-10.34,2.79
818.71,-8.89,(-1.07%),-10.34,2.79
818.56,-9.04,(-1.09%),-10.34,2.79
818.07,-9.53,(-1.15%),-10.34,2.79
818.65,-8.95,(-1.08%),-10.34,2.79
818.89,-8.71,(-1.05%),-10.34,2.79
818.89,-8.71,(-1.05%),-10.34,2.79
818.91,-8.69,(-1.05%),-10.34,2.79
818.81,-8.79,(-1.06%),-10.34,2.79
818.82,-8.78,(-1.06%),-10.34,2.79
818.82,-8.78,(-1.06%),-10.34,2.79
818.83,-8.77,(-1.06%),-10.34,2.79
818.93,-8.67,(-1.05%),-10.34,2.79
818.95,-8.65,(-1.05%),-10.34,2.79
818.65,-8.95,(-1.08%),-10.34,2.79
818.68,-8.92,(-1.08%),-10.34,2.79
818.66,-8.94,(-1.08%),-10.34,2.79
818.76,-8.84,(-1.07%),-10.34,2.79
818.65,-8.95,(-1.08%),-10.34,2.79
818.80,-8.80,(-1.06%),-10.34,2.79
818.80,-8.80,(-1.06%),-10.34,2.79
818.80,-8.80,(-1.06%),-10.34,2.79
819.43,-8.17,(-0.99%),-10.34,2.79
819.11,-8.49,(-1.03%),-10.34,2.79
819.30,-8.30,(-1.00%),-10.34,2.79
819.33,-8.27,(-1.00%),-10.34,2.79
819.34,-8.26,(-1.00%),-10.34,2.79
818.86,-8.74,(-1.06%),-10.34,2.79
819.74,-7.86,(-0.95%),-10.34,2.79
819.20,-8.40,(-1.01%),-10.34,2.79
819.28,-8.32,(-1.01%),-10.34,2.79
819.53,-8.07,(-0.98%),-10.34,2.79
819.50,-8.10,(-0.98%),-10.34,2.79
819.26,-8.34,(-1.01%),-10.34,2.79
819.24,-8.36,(-1.01%),-10.34,2.79
819.10,-8.24,(-1.00%),-10.34,2.79
819.38,-8.22,(-0.99%),-10.34,2.79
819.66,-7.94,(-0.96%),-10.34,2.79
819.70,-7.90,(-0.95%),-10.34,2.79
819.53,-8.07,(-0.98%),-10.34,2.79
819.28,-8.34,(-1.01%),-10.34,2.79
819.26,-8.34,(-1.01%),-10.34,2.79
819.67,-7.93,(-0.96%),-10.34,2.79
819.70,-7.90,(-0.95%),-10.34,2.79
818.26,-9.34,(-1.13%),-10.34,2.79
818.26,-9.34,(-1.13%),-10.34,2.79
817.95,-9.65,(-1.17%),-10.34,2.79
818.00,-9.60,(-1.16%),-10.34,2.79
817.85,-9.75,(-1.18%),-10.34,2.79
817.92,-9.68,(-1.17%),-10.34,2.79
818.28,-9.32,(-1.13%),-10.34,2.79
818.24,-9.36,(-1.13%),-10.34,2.79
818.50,-9.10,(-1.10%),-10.34,2.79
818.50,-9.10,(-1.10%),-10.34,2.79
819.26,-8.34,(-1.01%),-10.34,2.79
819.28,-8.32,(-1.01%),-10.34,2.79
819.22,-8.38,(-1.01%),-10.34,2.79
